"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 13:03:43 IST 2023","Mon Nov 06 13:03:45 IST 2023","2423","All Test Suite","ApiAutomationNew","org.example.curd.INT.TC_Integration","org.example.curd.INT.TC_Integration","testCreateDeleteBooking","testCreateDeleteBooking",""
"passed","Mon Nov 06 13:03:48 IST 2023","Mon Nov 06 13:03:50 IST 2023","1646","All Test Suite","ApiAutomationNew","org.example.curd.INT.TC_Integration","org.example.curd.INT.TC_Integration","testCreateandUpdateBooking","testCreateandUpdateBooking",""
"passed","Fri Nov 03 22:16:51 IST 2023","Fri Nov 03 22:16:55 IST 2023","4230","All Test Suite","ApiAutomationNew","org.example.curd.TC_Createbooking","org.example.curd.TC_Createbooking","testCreatebooking","testCreatebooking","TC_001 Verify that booking is working and get an ID"
"passed","Fri Nov 03 22:16:40 IST 2023","Fri Nov 03 22:16:50 IST 2023","10183","All Test Suite","ApiAutomationNew","org.example.curd.TC_Createbooking","org.example.curd.TC_Createbooking","testCreateBooking2_Negative","testCreateBooking2_Negative","TC_002 Verify that booking with no paload"
"passed","Mon Nov 06 13:03:35 IST 2023","Mon Nov 06 13:03:43 IST 2023","7660","All Test Suite","ApiAutomationNew","org.example.curd.INT.TC_Integration","org.example.curd.INT.TC_Integration","testCreateBooking","testCreateBooking",""
"passed","Mon Nov 06 13:03:47 IST 2023","Mon Nov 06 13:03:48 IST 2023","1487","All Test Suite","ApiAutomationNew","org.example.curd.INT.TC_Integration","org.example.curd.INT.TC_Integration","testCreateandPatchBooking","testCreateandPatchBooking",""
"passed","Fri Nov 03 12:14:58 IST 2023","Fri Nov 03 12:15:04 IST 2023","5955","All Test Suite","ApiAutomationNew","org.example.misc.TestFile","org.example.misc.TestFile","PostRequest","PostRequest",""
"passed","Mon Nov 06 13:03:45 IST 2023","Mon Nov 06 13:03:47 IST 2023","1585","All Test Suite","ApiAutomationNew","org.example.curd.INT.TC_Integration","org.example.curd.INT.TC_Integration","testCreateDeleteBookingByGet","testCreateDeleteBookingByGet",""
"passed","Sat Nov 04 21:11:30 IST 2023","Sat Nov 04 21:11:31 IST 2023","200","Default Suite","ApiAutomationNew","org.example.curd.INT.TC_Integration","org.example.curd.INT.TC_Integration","getToken","getToken",""
